3.0,3.0&e4:5f:01:63:71:a3,-61.712;e4:5f:01:63:71:55,-71.041;e4:5f:01:63:71:b5,-65.891;e4:5f:01:63:71:e5,-75.461;e4:5f:01:63:71:64,-60.456
3.0,9.0&e4:5f:01:63:71:a3,-49.375;e4:5f:01:63:71:55,-67.5;e4:5f:01:63:71:b5,-67.4;e4:5f:01:63:71:e5,-67.875;e4:5f:01:63:71:64,-79.4
3.0,9.0&e4:5f:01:63:71:a3,-49.526;e4:5f:01:63:71:55,-66.918;e4:5f:01:63:71:b5,-68.231;e4:5f:01:63:71:e5,-65.828;e4:5f:01:63:71:64,-77.564
3.0,9.0&e4:5f:01:63:71:a3,-48.762;e4:5f:01:63:71:55,-66.368;e4:5f:01:63:71:b5,-68.707;e4:5f:01:63:71:e5,-67.716;e4:5f:01:63:71:64,-74.583
3.0,9.0&e4:5f:01:63:71:a3,-51.277;e4:5f:01:63:71:55,-68.317;e4:5f:01:63:71:b5,-68.507;e4:5f:01:63:71:e5,-70.597;e4:5f:01:63:71:64,-71.741
3.0,9.0&e4:5f:01:63:71:a3,-49.926;e4:5f:01:63:71:55,-67.944;e4:5f:01:63:71:b5,-68.539;e4:5f:01:63:71:e5,-70.633;e4:5f:01:63:71:64,-70.63
3.0,9.0&e4:5f:01:63:71:a3,-51.642;e4:5f:01:63:71:55,-66.802;e4:5f:01:63:71:b5,-68.856;e4:5f:01:63:71:e5,-68.77;e4:5f:01:63:71:64,-69.398
3.0,9.0&e4:5f:01:63:71:a3,-49.619;e4:5f:01:63:71:55,-68.746;e4:5f:01:63:71:b5,-67.186;e4:5f:01:63:71:e5,-69.962;e4:5f:01:63:71:64,-69.785
3.0,9.0&e4:5f:01:63:71:a3,-50.162;e4:5f:01:63:71:55,-69.052;e4:5f:01:63:71:b5,-68.015;e4:5f:01:63:71:e5,-67.646;e4:5f:01:63:71:64,-70.126
3.0,9.0&e4:5f:01:63:71:a3,-49.22;e4:5f:01:63:71:55,-67.68;e4:5f:01:63:71:b5,-67.48;e4:5f:01:63:71:e5,-66.054;e4:5f:01:63:71:64,-71.256
3.0,9.0&e4:5f:01:63:71:a3,-48.685;e4:5f:01:63:71:55,-66.489;e4:5f:01:63:71:b5,-67.232;e4:5f:01:63:71:e5,-66.018;e4:5f:01:63:71:64,-75.069
3.0,6.0&e4:5f:01:63:71:a3,-68.333;e4:5f:01:63:71:55,-75.428;e4:5f:01:63:71:b5,-71.25;e4:5f:01:63:71:e5,-78.857;e4:5f:01:63:71:64,-69.833
3.0,6.0&e4:5f:01:63:71:a3,-68.468;e4:5f:01:63:71:55,-73.176;e4:5f:01:63:71:b5,-71.595;e4:5f:01:63:71:e5,-80.265;e4:5f:01:63:71:64,-69.714
3.0,6.0&e4:5f:01:63:71:a3,-68.04;e4:5f:01:63:71:55,-75.077;e4:5f:01:63:71:b5,-70.799;e4:5f:01:63:71:e5,-80.353;e4:5f:01:63:71:64,-68.476
3.0,6.0&e4:5f:01:63:71:a3,-66.289;e4:5f:01:63:71:55,-77.362;e4:5f:01:63:71:b5,-70.833;e4:5f:01:63:71:e5,-81.47;e4:5f:01:63:71:64,-64.856
3.0,6.0&e4:5f:01:63:71:a3,-65.754;e4:5f:01:63:71:55,-77.91;e4:5f:01:63:71:b5,-69.876;e4:5f:01:63:71:e5,-82.736;e4:5f:01:63:71:64,-63.267
3.0,6.0&e4:5f:01:63:71:a3,-65.844;e4:5f:01:63:71:55,-81.465;e4:5f:01:63:71:b5,-70.163;e4:5f:01:63:71:e5,-81.578;e4:5f:01:63:71:64,-62.598
3.0,6.0&e4:5f:01:63:71:a3,-64.914;e4:5f:01:63:71:55,-81.372;e4:5f:01:63:71:b5,-70.173;e4:5f:01:63:71:e5,-79.14;e4:5f:01:63:71:64,-61.432
3.0,6.0&e4:5f:01:63:71:a3,-65.181;e4:5f:01:63:71:55,-83.63;e4:5f:01:63:71:b5,-71.198;e4:5f:01:63:71:e5,-79.113;e4:5f:01:63:71:64,-62.277
3.0,6.0&e4:5f:01:63:71:a3,-63.787;e4:5f:01:63:71:55,-83.46;e4:5f:01:63:71:b5,-71.874;e4:5f:01:63:71:e5,-77.553;e4:5f:01:63:71:64,-63.694
3.0,6.0&e4:5f:01:63:71:a3,-63.871;e4:5f:01:63:71:55,-82.697;e4:5f:01:63:71:b5,-71.261;e4:5f:01:63:71:e5,-77.987;e4:5f:01:63:71:64,-63.325
3.0,9.0&e4:5f:01:63:71:a3,-53.0;e4:5f:01:63:71:55,-69.6;e4:5f:01:63:71:b5,-77.444;e4:5f:01:63:71:e5,-89.0;e4:5f:01:63:71:64,-69.333
3.0,9.0&e4:5f:01:63:71:a3,-51.353;e4:5f:01:63:71:55,-70.621;e4:5f:01:63:71:b5,-78.453;e4:5f:01:63:71:e5,-86.01;e4:5f:01:63:71:64,-72.776
3.0,9.0&e4:5f:01:63:71:a3,-51.378;e4:5f:01:63:71:55,-72.821;e4:5f:01:63:71:b5,-78.286;e4:5f:01:63:71:e5,-84.607;e4:5f:01:63:71:64,-74.098
3.0,9.0&e4:5f:01:63:71:a3,-51.878;e4:5f:01:63:71:55,-72.392;e4:5f:01:63:71:b5,-80.213;e4:5f:01:63:71:e5,-82.686;e4:5f:01:63:71:64,-76.256
3.0,9.0&e4:5f:01:63:71:a3,-51.246;e4:5f:01:63:71:55,-73.792;e4:5f:01:63:71:b5,-78.913;e4:5f:01:63:71:e5,-81.992;e4:5f:01:63:71:64,-77.709
3.0,9.0&e4:5f:01:63:71:a3,-50.436;e4:5f:01:63:71:55,-72.808;e4:5f:01:63:71:b5,-79.161;e4:5f:01:63:71:e5,-82.476;e4:5f:01:63:71:64,-77.11
3.0,9.0&e4:5f:01:63:71:a3,-52.193;e4:5f:01:63:71:55,-70.952;e4:5f:01:63:71:b5,-77.025;e4:5f:01:63:71:e5,-80.547;e4:5f:01:63:71:64,-76.456
3.0,9.0&e4:5f:01:63:71:a3,-51.698;e4:5f:01:63:71:55,-69.113;e4:5f:01:63:71:b5,-78.467;e4:5f:01:63:71:e5,-80.229;e4:5f:01:63:71:64,-74.193
3.0,9.0&e4:5f:01:63:71:a3,-51.925;e4:5f:01:63:71:55,-68.756;e4:5f:01:63:71:b5,-79.505;e4:5f:01:63:71:e5,-82.142;e4:5f:01:63:71:64,-76.057
3.0,9.0&e4:5f:01:63:71:a3,-51.935;e4:5f:01:63:71:55,-69.058;e4:5f:01:63:71:b5,-79.501;e4:5f:01:63:71:e5,-84.256;e4:5f:01:63:71:64,-75.67
6.0,3.0&e4:5f:01:63:71:a3,-69.833;e4:5f:01:63:71:55,-74.5;e4:5f:01:63:71:b5,-82.5;e4:5f:01:63:71:e5,-70.666;e4:5f:01:63:71:64,-63.375
6.0,3.0&e4:5f:01:63:71:a3,-70.554;e4:5f:01:63:71:55,-72.231;e4:5f:01:63:71:b5,-82.154;e4:5f:01:63:71:e5,-72.242;e4:5f:01:63:71:64,-65.915
6.0,3.0&e4:5f:01:63:71:a3,-71.651;e4:5f:01:63:71:55,-74.328;e4:5f:01:63:71:b5,-79.524;e4:5f:01:63:71:e5,-72.244;e4:5f:01:63:71:64,-66.195
6.0,3.0&e4:5f:01:63:71:a3,-72.361;e4:5f:01:63:71:55,-74.759;e4:5f:01:63:71:b5,-78.196;e4:5f:01:63:71:e5,-72.445;e4:5f:01:63:71:64,-66.237
